operational_stress,temperature_differential,thermal_stress,Tool wear,Process temperature,Rotational speed,Machine failure
0.4365581086794288,0.76470584,1.5775561319092697,1.3074399,-1.4865919,-0.6808511,0.0
0.4716110295656777,0.5882353,0.707877497400601,1.3771957,-0.54283166,-0.5531915,0.0
0.5149659580302487,0.47058824,0.6506987852436718,1.4084109,1.075043,-0.17553191,0.0
-0.0804369957278779,-0.5882353,-0.0620124222588791,1.2232473,-0.4754202,-0.20212767,0.0
1.3632253562785537,1.0,1.4462389883087794,1.5776458,1.2098658,-0.10638299,0.0
-0.7342378318531761,0.88235295,0.2633670116982098,1.1159874,0.19869421,0.84574467,0.0
-1.0565260234834242,-1.0,-1.233631212748337,0.9421791,0.94022006,0.037234034,0.0
-0.5989576827243634,0.76470584,0.1844922039701401,1.1563346,-1.6888262,0.49468088,0.0
-1.2627280236766214,-1.117647,-0.27791150619666,0.81153566,0.67057425,0.037234034,0.0
1.8381072854915512,-0.23529412,0.1455958409017111,1.6793323,-0.54283166,-0.12765956,0.0
0.2938983972587742,-0.52941173,-0.9067724372678848,1.4752742,0.26610565,0.67021275,0.0
-0.0978570201764084,0.76470584,0.7101064005074031,1.2595643,1.075043,-0.14361702,0.0
0.3653169496312632,-0.17647056,-0.5443077310601769,1.478861,1.2098658,0.5425531,0.0
-1.1963829203797738,-0.52941173,-2.1748145797974434,1.0300545,0.46833998,2.3893616,0.0
-1.23640285434707,0.11764706,-0.1916292864992333,0.84583116,-1.4865919,-0.27127656,0.0
-0.3742003408069679,0.76470584,-0.6186815726251639,1.3367544,-0.20577444,0.91489357,0.0
-0.6485213775402439,0.5294118,-0.4412431417893252,1.1903504,-1.4191804,0.97872335,0.0
-0.1735330123326522,0.5882353,0.4400021879181734,1.285962,-1.1495347,0.6329787,0.0
-1.4824828738481048,-0.41176468,0.0530126111152296,0.7164391,-1.0821233,-0.5159575,0.0
-1.117194540401932,-1.1764705,-1.1940797433034314,0.9110832,0.06387132,0.31914893,0.0
-0.9919193747649432,-0.17647056,-0.2863696574129648,0.9603828,-1.958472,0.12234042,0.0
-0.0608527727226052,0.0,-1.4460115619135891,1.5209272,0.46833998,1.2606382,0.0
1.1418739661881618,-0.17647056,0.4239891615716888,1.478861,-1.351769,-0.65957445,0.0
-1.1355724888018075,-0.7058824,-1.379701095042658,0.9173802,0.6031628,-0.23404256,0.0
0.2505789474590678,0.5294118,0.8685696109224158,1.3159035,-1.2843575,-0.3617021,0.0
