Type,Process temperature,Rotational speed,Torque,Tool wear,Machine failure,Power,temperature_differential,power_speed_ratio,thermal_stress,operational_stress,efficiency_index,power_wear_interaction,speed_torque_efficiency
0.0,-1.0199448986193136,-0.0516887749551332,1.1255716025257907,-1.7066402658479298,0.0,1.680114214544265,0.3963752673809584,1.1258672273839256,1.633924750943872,-1.5974875118040337,1.481381243635437,-1.6447226644369657,-0.817009702097088
0.0,-0.952126649413994,-0.6675360849839856,-0.2104277257253239,-1.6741868555508348,0.0,-0.5771000669130328,0.3963752673810153,-0.2105912508782494,-0.2256100478226572,-1.5864314063984268,-0.4841440851330806,-1.6379233220314564,-0.2086506996336843
0.0,-0.8843084002087132,-0.9044004349950828,-0.1429530121772878,-1.6417334452537395,0.0,-0.6138819546794125,0.4965878224956438,-0.143170387520296,-0.1980298792572365,-1.555137006352048,-0.5262278072192241,-1.6092266142277,-0.3205588535033252
1.0,-0.952126649413994,-0.7433326769875367,0.1134508993052491,-1.6092800349566443,0.0,-0.1743805620564452,0.4965878224956438,0.1133276295817195,0.167520918425726,-1.5173213780325316,-0.0495167974507191,-1.570351834017474,-0.4414333468155382
0.0,-0.952126649413994,0.5167856650714998,0.1809256128532852,-1.5605999195110016,0.0,0.6497023886515398,0.4965878224956438,0.1811576956163062,0.8529435019365371,-1.4675876428690051,0.7125557707283938,-1.5008383769459492,-0.1532044243688387
0.0,-0.952126649413994,0.2230738710577394,-0.115963126758073,-1.5281465092139066,0.0,0.0433137218349428,0.4965878224956438,-0.1158755156992064,0.3485859172249128,-1.448998394458222,0.1671239496173887,-1.4859688010697507,-0.0280514675443328
1.0,-0.8843084002087132,1.549514231119883,-1.6813764810725107,-1.4956930989168111,0.0,-1.7353467923338484,0.3963752673809584,-1.681445473829585,-1.1797950842946794,-1.4971205617151684,-2.04959994012404,-1.5181248398096712,2.041312956401463
1.0,-0.680853652592793,2.2506327071527306,-1.7623461373301543,-1.4470129834711687,0.0,-1.5962892004184848,0.4965878224956438,-1.7623423403709304,-1.0151370792735883,-1.4696864289799,-1.8313673054815087,-1.4751956613984236,2.4407867279335944
2.0,-0.6130354033874734,-0.7622818249884245,0.4373295243358222,-1.317199342282788,0.0,0.2578422982783592,0.4965878224956438,0.4372614892735917,0.5270178711640345,-1.2085749497905336,0.3693322203941569,-1.266582365528189,-0.6353152438732937
1.0,-0.6130354033874734,-1.5581460410257106,1.354985628589114,-1.2360658165400502,0.0,0.9563738105682668,0.4965878224956438,1.3547860462403292,1.1080143271714369,-1.0389105797187288,0.9600283263205516,-1.1373691857804522,-1.2492343225655802
1.0,-0.5452171541821924,2.2601072811531746,-1.4924472831380098,-1.1873857010944076,0.0,-1.1406349152843562,0.5968003776102725,-1.4923568473622548,-0.5824420960636795,-1.2740495807857717,-1.17899806325375,-1.239224753570689,2.027984051323337
